LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,SFH9,eload_med_ind,eload_small_ind,eload_comm
22.22054737,36.8099952,3.77447763,,,,,,,,,,0.634679921,0.073355577,0.853342586,0.134241245
21.56547274,34.76990564,4.11761196,,,,,,,,,,0.574106607,0.097807436,0.82419616,0.158884565
20.52567174,34.7303932,3.7432836,,,,,,,,,,0.603644545,0.081172545,0.777931992,0.149805447
21.58626876,33.92454743,3.665298525,,,,,,,,,,0.539323211,0.074308866,0.825121443,0.118028534
22.57927872,35.41978126,3.914850765,,,,,,,,,,0.078689959,0.076120114,0.869303724,0.118677043
23.22395534,34.32695041,3.821268675,,,,,,,,,,0.06030377,0.071496663,0.897987509,0.123216602
22.29333344,35.71820415,3.86805972,,,,,,,,,,0.045044999,0.073164919,0.856581078,0.13229572
22.20495036,33.41816434,4.18000002,,,,,,,,,,0.025225515,0.069971401,0.852648624,0.122568093
21.48228866,32.97520911,4.039626885,,,,,,,,,,0.028454667,0.061963775,0.820495027,0.127756161
15.55022396,33.04071658,4.3671642,,,,,,,,,,0.041396368,0.062726406,0.556557946,0.110894942
14.01651748,33.75609966,4.070820915,,,,,,,,,,0.022403863,0.05257388,0.488318297,0.121271077
12.86233837,33.21020414,4.14880599,,,,,,,,,,0.263069807,0.044613918,0.436965071,0.131647211
12.72196523,20.70555731,4.008432855,,,,,,,,,,0.117340472,0.051382269,0.430719408,0.122568093
12.73236325,10.00912443,4.21119405,,,,,,,,,,0.044063499,0.035271687,0.43118205,0.129701686
18.48766178,11.61977618,4.08641793,,,,,,,,,,0.033859155,0.032173499,0.687254222,0.095979248
16.3248757,18.67898516,3.758880615,,,,,,,,,,0.124790078,0.059246902,0.591024751,0.106355383
19.44947771,24.4363633,3.602910465,,,,,,,,,,0.333723411,0.033746425,0.730048577,0.118028534
21.4199006,27.43930859,3.852462705,,,,,,,,,,0.052690806,0.03164919,0.817719176,0.109597925
20.93639313,29.19345288,3.696492555,,,,,,,,,,0.255434076,0.039847474,0.796206338,0.118677043
21.38350757,29.71335338,3.46253733,,,,,,,,,,0.362464944,0.035128694,0.816099931,0.114137484
21.63825881,29.92131358,3.7432836,,,,,,,,,,0.148644572,0.029361296,0.827434652,0.115434501
21.54987573,30.85713448,3.58731345,,,,,,,,,,0.156689544,0.033698761,0.823502198,0.107652399
21.69024886,31.98843796,4.133208975,,,,,,,,,,0.382760874,0.047092469,0.82974786,0.099870298
22.31412946,32.14440811,3.55611942,,,,,,,,,,0.972131585,0.053670162,0.857506361,0.118028534
22.86002499,34.78238325,4.070820915,,,,,,,,,,0.453101524,0.027264061,0.88179505,0.122568093
22.12176628,35.01633848,4.382761215,,,,,,,,,,0.242225038,0.029837941,0.84894749,0.13229572
22.29853245,35.7701942,4.382761215,,,,,,,,,,0.123760117,0.03336511,0.856812399,0.118677043
22.60007474,36.00518923,4.133208975,,,,,,,,,,0.105850521,0.025929457,0.870229008,0.12386511
22.28293543,33.96405986,3.914850765,,,,,,,,,,0.074586723,0.033031459,0.856118436,0.104409857
22.44410459,33.61260713,4.382761215,,,,,,,,,,0.045693729,0.031553861,0.863289382,0.120622568
23.63987574,32.651831,3.80567166,,,,,,,,,,0.047861302,0.029456625,0.916493176,0.132944228
19.13753741,31.06509468,3.58731345,,,,,,,,,,0.027267779,0.033031459,0.716169327,0.154993515
12.28004981,20.47160209,3.7432836,,,,,,,,,,0.037235093,0.035653003,0.411057136,0.155642023
10.04967666,8.059497551,4.11761196,,,,,,,,,,0.040527003,0.010438513,0.311820495,0.135538262
9.54537318,6.603776151,3.83686569,,,,,,,,,,0.020290343,0.005529075,0.289382373,0.141374838
9.86771149,6.279358239,4.30477614,,,,,,,,,,0.047073173,0,0.303724266,0.158236057
9.36860701,9.085781138,5.287388085,,,,,,,,,,0.031940688,0.000285987,0.281517465,0.14461738
9.425796065,6.902199038,6.27000003,,,,,,,,,,0.037536577,0.147283127,0.284061994,0.160181582
9.456990095,13.05054235,8.469179145,,,,,,,,,,0.060424833,0.586224976,0.285449919,0.560311284
16.22609461,19.29038815,10.45000005,,,,,,,,,,0.279542485,0.638369876,0.586629655,0.901426719
22.28813444,26.11252251,9.32701497,,,,,,,,,,0.447894082,0.668064824,0.856349757,0.917639429
22.29853245,27.82923396,9.342611985,,,,,,,,,,0.397685687,0.836129647,0.856812399,0.76848249
23.23955235,29.62289069,8.79671646,,,,,,,,,,0.901802632,0.862392755,0.898681471,0.73151751
21.58626876,30.60966184,9.061865715,,,,,,,,,,0.369668304,0.502812202,0.825121443,0.682230869
22.5636817,29.34942303,9.17104482,,,,,,,,,,0.115663864,0.701906578,0.868609762,0.774319066
21.91380608,29.50539318,8.76552243,,,,,,,,,,0.163896875,0.667969495,0.839694656,0.675097276
21.30032349,30.55767179,9.436194075,,,,,,,,,,0.31681379,0.626215443,0.812398797,0.741245136
20.82721403,29.85580611,9.716940345,,,,,,,,,,0.608421952,0.226310772,0.791348601,0.533722438
20.33850756,33.85903996,9.358209,,,,,,,,,,0.840889655,0.20729266,0.769604441,0.217250324
22.17375633,34.82085589,9.779328405,,,,,,,,,,0.642302192,0.211201144,0.851260699,0.191309987
24.59649266,33.02719916,6.067238835,,,,,,,,,,0.691762239,0.215824595,0.959056211,0.169909209
23.06798519,34.04204494,4.64791047,,,,,,,,,,0.81610907,0.208770257,0.891047883,0.173800259
22.22054737,32.93673648,4.58552241,,,,,,,,,,0.580320133,0.204814109,0.853342586,0.138780804
21.64345782,33.15821409,4.070820915,,,,,,,,,,0.582674482,0.188179218,0.827665973,0.05771725
16.05452744,34.25000514,3.852462705,,,,,,,,,,0.575496119,0.188655863,0.578996068,0.000648508
